msisdn,tower_id,up_bytes,down_bytes,data_type,ip_address,website_url,event_datetime
1686153057998,319,642156,858211,text,38.77.134.98,https://www.martin.com/,2024-01-02 00:01:59.460092
7779837698742,1232,919382,728686,audio,171.54.243.245,https://hunter.org/,2024-01-02 00:11:32.234730
7500428077242,1408,389762,952854,text,202.86.50.201,https://www.elliott.com/,2024-01-02 00:07:28.177271
2084298256466,1890,155833,393231,application,222.31.164.118,https://www.miller.com/,2024-01-02 00:02:17.611376
0120726966257,81,238690,551736,image,196.227.28.205,http://alvarez.com/,2024-01-02 00:02:54.998039
4786125161767,1,640913,260906,image,47.155.49.154,http://www.holloway-franklin.com/,2024-01-02 00:07:06.408686
9798945195813,1562,591435,953152,text,91.234.251.139,http://wright.info/,2024-01-02 00:05:23.069740
0004698703112,1747,955333,350948,image,64.215.17.119,https://beltran-patterson.biz/,2024-01-02 00:10:14.232581
6958693785673,470,378387,789613,audio,95.253.196.209,https://horton-oneal.com/,2024-01-02 00:07:27.370233
1448046700760,1026,827387,926311,image,137.70.89.116,http://www.cherry.com/,2024-01-02 00:11:46.121316
6475205769178,1501,925911,830023,audio,222.104.216.126,https://www.cervantes-wise.com/,2024-01-02 00:07:44.830694
1720185443616,1151,175777,890154,audio,147.212.68.254,https://esparza-sullivan.org/,2024-01-02 00:00:37.471711
2173530950354,111,736779,244773,image,143.99.101.19,http://www.church.com/,2024-01-02 00:12:48.916041
0160624250098,1360,837399,763620,image,38.197.132.116,https://phillips.net/,2024-01-02 00:13:14.512558
2717331743994,1769,765064,144459,video,5.152.61.195,https://www.miller-robinson.net/,2024-01-02 00:10:03.654499
6375259737879,1827,968966,519071,audio,40.83.136.32,http://freeman.info/,2024-01-02 00:17:07.675485
6894922083802,385,711716,366333,application,135.18.202.229,https://hill-scott.info/,2024-01-02 00:03:13.725821
2862613341582,124,229877,617707,audio,201.127.185.36,http://www.gould.com/,2024-01-02 00:16:54.802266
3477299792010,698,394099,932381,audio,148.7.254.214,http://www.reed-guzman.org/,2024-01-02 00:04:34.061797
9195126936719,1830,316388,638297,image,206.85.36.102,https://herrera.net/,2024-01-02 00:09:12.941669
9227751606054,990,148205,324424,audio,195.128.159.145,https://wright.org/,2024-01-02 00:02:56.087381
6332332590418,815,765535,270043,video,162.82.129.2,http://hughes.net/,2024-01-02 00:07:09.066627
6524971265151,1875,259280,117020,text,186.58.81.90,http://smith.net/,2024-01-02 00:01:47.164328
0806729235695,1046,367799,409561,audio,141.177.189.27,https://hernandez.net/,2024-01-02 00:15:51.583263
1582510868561,532,869266,603645,video,189.217.156.63,http://mcgrath-holden.biz/,2024-01-02 00:06:45.494797
7426804648268,374,602287,696160,audio,91.126.155.204,https://garcia-wong.com/,2024-01-02 00:10:48.763618
4720680364188,1705,750974,917821,video,206.233.83.213,https://www.mcintyre-reynolds.com/,2024-01-02 00:07:41.119741
8239580522855,1793,700194,110256,image,206.130.22.142,https://www.norman.com/,2024-01-02 00:00:49.516566
0782760732617,413,417481,878271,application,48.13.184.113,https://perkins.biz/,2024-01-02 00:15:26.803926
0027979255337,308,521076,188927,application,204.114.182.41,https://www.mathis.net/,2024-01-02 00:14:27.447403
8293839660344,81,764469,891670,image,211.220.154.208,http://www.evans-austin.net/,2024-01-02 00:16:26.253298
6420929569420,165,704107,182770,video,65.239.209.135,http://www.kirby.com/,2024-01-02 00:04:53.170239
6638444199354,1154,584708,344649,audio,2.150.121.140,http://www.ray-carter.net/,2024-01-02 00:08:04.218350
9005128504484,1502,136014,259339,audio,165.136.0.228,https://daniel-peterson.info/,2024-01-02 00:02:14.266855
5410563494838,1940,308327,657181,application,64.164.217.63,http://stevenson.net/,2024-01-02 00:04:28.067866
5601174947353,1169,720303,470287,image,117.66.241.155,http://www.strickland.net/,2024-01-02 00:10:48.969309
7438822513562,1934,732426,646658,text,99.2.119.84,https://www.bruce.com/,2024-01-02 00:12:57.814553
6126422875607,965,729154,636475,audio,145.77.70.41,http://smith-hamilton.net/,2024-01-02 00:07:09.298847
1616811342342,1801,489735,974934,video,183.7.85.76,http://stevens-white.com/,2024-01-02 00:13:21.013700
3089552168292,1375,126060,484936,image,40.226.58.42,https://www.smith.net/,2024-01-02 00:02:44.131469
5038443247540,736,143855,702163,image,25.165.68.64,http://www.hoover-beck.info/,2024-01-02 00:01:56.139208
4533743671494,65,812719,454860,video,1.134.103.29,https://moore.com/,2024-01-02 00:06:20.517912
8205523413710,1604,368608,732967,image,18.66.188.172,http://www.wong.net/,2024-01-02 00:05:11.259260
6440320828530,1062,205815,311744,application,198.33.12.214,https://chambers.com/,2024-01-02 00:02:25.962586
2750380147485,1560,597762,169736,video,199.23.124.174,https://lopez.com/,2024-01-02 00:15:18.252125
7280845040869,1502,494224,459460,audio,207.22.120.52,https://hoffman.info/,2024-01-02 00:07:50.976967
2102437529753,1388,864711,585235,video,97.198.201.28,http://www.walker.com/,2024-01-02 00:08:31.345372
6783392839015,710,344152,902762,video,45.84.96.112,http://www.gonzalez.net/,2024-01-02 00:04:06.373909
0432228031486,1567,523121,206639,image,197.94.228.255,https://www.king.net/,2024-01-02 00:05:34.454193
1732299901935,1832,760504,182896,audio,110.23.221.132,https://www.johnson-finley.com/,2024-01-02 00:11:24.982761
5920769301341,527,686428,540964,application,146.175.178.183,http://thomas-morgan.info/,2024-01-02 00:07:08.857377
5068252481962,171,867816,181495,image,4.215.31.49,http://swanson.org/,2024-01-02 00:10:19.910804
4165004534305,1306,373036,194963,image,169.73.91.100,https://www.mayer.net/,2024-01-02 00:02:01.307101
2725868644984,927,452150,410512,image,204.49.244.107,http://leon-jones.net/,2024-01-02 00:05:09.037336
4729846775184,1425,513466,199119,image,208.58.13.132,http://www.williams.com/,2024-01-02 00:15:47.905806
2776566814507,60,411026,378754,image,9.192.184.237,http://www.chavez-newman.com/,2024-01-02 00:09:50.415044
3151306860746,912,562428,608898,text,220.179.93.57,http://poole.net/,2024-01-02 00:03:46.462840
1942914459875,1008,337196,887371,audio,164.127.181.180,https://www.moore.com/,2024-01-02 00:13:45.484727
8865040257664,141,600650,667944,application,175.191.137.95,https://pierce.net/,2024-01-02 00:07:27.830365
0039031279046,558,709501,990825,video,176.27.235.209,https://smith.net/,2024-01-02 00:13:16.812388
3072472311681,1523,816933,256619,video,218.210.195.108,http://moreno.com/,2024-01-02 00:04:36.544539
8795448877653,1435,797607,660568,image,69.213.250.151,https://www.king.com/,2024-01-02 00:13:03.280532
0477445197824,1573,673177,959206,audio,220.120.99.187,https://moore.com/,2024-01-02 00:16:06.721175
2862580495136,1697,452366,391235,text,213.246.233.145,http://www.dominguez.com/,2024-01-02 00:09:16.655258
6493085677449,885,528161,448598,application,151.95.197.169,http://mcconnell.info/,2024-01-02 00:15:59.432804
0818681903958,176,129473,932215,text,137.43.169.97,https://www.roberts-carter.com/,2024-01-02 00:12:16.879732
4719482707542,753,817110,505881,video,7.164.136.94,http://www.reed.com/,2024-01-02 00:13:52.227798
4204705823667,64,791001,869011,audio,203.163.15.139,https://www.johnson.com/,2024-01-02 00:00:34.414957
5130151955780,1695,615108,809375,image,172.205.223.12,http://www.murphy.com/,2024-01-02 00:13:28.409804
9577339584850,749,874182,976157,video,158.130.104.120,http://www.scott.com/,2024-01-02 00:14:58.228505
5209253282051,194,381427,788102,text,26.194.187.107,https://wells-becker.com/,2024-01-02 00:09:46.170247
0120852194447,81,998235,734212,video,168.217.193.149,http://booker.com/,2024-01-02 00:10:00.074212
7354094960876,1606,984958,225777,application,129.65.188.49,http://www.gilbert.org/,2024-01-02 00:11:38.568447
8003877524230,1618,330918,176369,video,128.213.11.155,https://www.hart.net/,2024-01-02 00:04:28.295750
0373610497461,216,933727,751349,audio,197.172.64.213,https://www.king.com/,2024-01-02 00:07:02.204358
1901215910566,437,998456,182521,image,209.51.198.144,https://www.alvarez-castillo.com/,2024-01-02 00:12:09.665120
0114097342361,779,625742,461756,application,35.152.115.157,http://www.chapman.com/,2024-01-02 00:10:41.945467
2969674281324,1470,598683,958320,application,172.186.247.39,http://www.clark-hart.com/,2024-01-02 00:03:28.954746
2528943695281,709,242652,887047,image,121.8.214.138,https://carrillo.net/,2024-01-02 00:02:30.352168
1726060307549,1287,835486,718008,text,131.67.164.210,http://hester-carlson.com/,2024-01-02 00:05:00.400468
6537836658540,1642,610158,499964,video,72.247.246.40,https://www.goodwin.com/,2024-01-02 00:04:29.867007
2280465629327,819,891692,516493,text,46.92.229.150,https://johnson.org/,2024-01-02 00:01:26.699466
2899227479566,1721,726761,325919,text,169.189.89.173,http://hoffman.com/,2024-01-02 00:06:52.339835
5595716816614,1100,744082,865431,video,133.18.220.17,https://foley-rose.com/,2024-01-02 00:08:22.284954
