msisdn,tower_id,call_type,dest_nr,call_duration_sec,start_time
7352712030132,1083,video,9173108241995,1123,2024-01-02 00:04:44.698210
0459626291462,660,voice,9328069179086,927,2024-01-02 00:13:31.551058
0558786484706,952,voice,5440412914962,692,2024-01-02 00:05:48.266216
5217157935548,780,voice,2813887771569,1593,2024-01-02 00:01:16.633237
5666780056974,503,video,6255565121594,200,2024-01-02 00:15:52.001184
1073144523671,1126,video,6835601473594,65,2024-01-02 00:09:15.302997
6714913285942,126,video,8624905712652,1533,2024-01-02 00:15:33.671335
5998303530603,243,voice,0647994910433,111,2024-01-02 00:16:20.479275
9067610547808,1098,voice,3744952082998,227,2024-01-02 00:08:45.632830
7277857432865,1313,voice,6498553515548,231,2024-01-02 00:16:06.943378
3702138339391,389,video,8527581233102,1543,2024-01-02 00:14:56.609893
2993681522837,1381,video,8376471482008,1322,2024-01-02 00:11:06.177313
0200748555318,1658,video,1777225387666,422,2024-01-02 00:08:11.507604
7559874759800,85,video,0446658181129,80,2024-01-02 00:06:50.448138
1816673958343,1776,video,8836866292137,1529,2024-01-02 00:04:08.341557
4130012929354,1062,voice,1920273495589,387,2024-01-02 00:08:13.883748
4320239391857,1923,voice,9159291329602,659,2024-01-02 00:01:58.531979
7464188660491,271,voice,5163463495655,1147,2024-01-02 00:10:23.690120
9720157612800,1489,video,0616949431567,1598,2024-01-02 00:01:18.562004
3232740861621,1122,voice,4975919725964,1472,2024-01-02 00:12:06.688998
9676407118695,572,video,4324259715397,1544,2024-01-02 00:14:19.462113
1256730146469,1186,video,5270323670591,1012,2024-01-02 00:05:19.407893
8652633161061,1569,voice,3891366724559,635,2024-01-02 00:16:36.736582
6147763093042,1310,voice,6009448540878,1042,2024-01-02 00:14:48.713422
8354465192213,847,voice,5240524672677,195,2024-01-02 00:08:39.514141
5576930959291,1792,video,6947810004454,1124,2024-01-02 00:06:19.229456
7710847716914,253,voice,4410114833340,1296,2024-01-02 00:02:08.395101
3563193280694,220,video,6694282387371,710,2024-01-02 00:11:08.103226
1123667656047,167,voice,6238502666397,325,2024-01-02 00:05:26.114810
3701363084540,1111,video,5219209109623,398,2024-01-02 00:15:15.138037
6991372717432,436,voice,0041316402473,1116,2024-01-02 00:09:21.891904
2777552899911,226,voice,0873095425051,1685,2024-01-02 00:04:22.233578
4226014423868,1107,voice,1291460040204,1241,2024-01-02 00:07:01.969030
9052238903041,171,voice,3008401004076,681,2024-01-02 00:11:07.612958
5425946910616,1576,voice,9118973674845,573,2024-01-02 00:09:15.216891
9903610455085,1400,voice,0809807693684,1377,2024-01-02 00:16:43.739629
5894689465532,1539,video,1530366760953,1740,2024-01-02 00:09:37.756643
0130930023681,265,voice,9856681500281,1316,2024-01-02 00:02:12.368905
4943747009766,487,video,0654504517649,1481,2024-01-02 00:16:22.783674
0436193368472,446,video,2777144331064,726,2024-01-02 00:07:32.282698
5292943911570,1148,video,5883744316993,144,2024-01-02 00:11:14.576706
5025359679229,1566,video,8253685458225,302,2024-01-02 00:15:32.918262
5672455943094,152,video,3881270091955,617,2024-01-02 00:01:16.223252
4487526889356,826,video,3106351539143,329,2024-01-02 00:15:10.533134
6749995258875,1659,video,0583325850658,58,2024-01-02 00:07:39.620146
2107893030819,1614,video,5052036835344,9,2024-01-02 00:16:23.795769
1687165939359,437,voice,7784215494538,58,2024-01-02 00:06:41.688985
